id,name_pl,name_en,description_pl,description_en,category,img_url,product_url,price_eur,co mamy,co chcemy
4001,,MICHAEL KORS Jet Set Travel Navy ,,Color: Navy,Bags,https://secure-i2.ztat.net//large/MK/15/1A/04/JK/11/MK151A04J-K11@5.jpg,https://www.zalando.pl/michael-michael-kors-multifunction-tote-torba-na-zakupy-niebieski-mk151a04j-k11.html,300,,
4002,,TOP SHOP Shopper Bag navy blue,,Color: Navy,Bags,https://secure-i2.ztat.net//large/TP/75/1H/03/1K/11/TP751H031-K11@9.2.jpg,https://www.zalando.pl/topshop-torba-na-zakupy-navyblue-tp751h031-k11.html,50,,
4003,,Lauren Ralph City Bag Tea Rose,,Color: Pink,Bags,https://secure-i5.ztat.net//large/L4/25/1H/03/QJ/11/L4251H03Q-J11@2.jpg,https://www.zalando.pl/lauren-ralph-lauren-city-tote-torba-na-zakupy-l4251h03q-j11.html,130,,
4004,,KIPPLING Black Backpack,,Color: Black,Bags,https://secure-i4.ztat.net//large/1K/I5/1A/00/K9/09/1KI51A00K-909@1.jpg,https://www.zalando.pl/kipling-firefly-n-torby-na-ramie-czarny-1ki51a00k-909.html,72,,
4005,,EVEN & ODD Black Clutch,,Color: Black,Bags,https://secure-i4.ztat.net//large/EV/45/1H/0A/7Q/11/EV451H0A7-Q11@9.jpg,https://www.zalando.pl/akcesoria-torby-kobiety/?p=3,13,,
4006,,LOVE MOSCHINO Black Clouch,,Color: Black,Bags,https://secure-i3.ztat.net//large/LO/95/1H/01/QQ/11/LO951H01Q-Q11@2.jpg,https://www.zalando.pl/love-moschino-torba-na-ramie-noir-lo951h01q-q11.html,160,,
4007,,ROXY Sugar Me Up Sportsbag,,Clolor: Multicolor,Bags,https://secure-i5.ztat.net//large/RO/55/1H/01/2T/11/RO551H012-T11@2.jpg,https://www.zalando.pl/roxy-sugar-me-up-torba-sportowa-ro551h012-t11.html,27,,
4008,,TOM TAILOR Shoulder Bag,,,Bags,https://secure-i5.ztat.net//large/TO/25/2H/00/PK/11/TO252H00P-K11@2.jpg,https://www.zalando.pl/tom-tailor-brandon-torba-na-ramie-niebieski-to252h00p-k11.html,40,,
4009,,SEE BY CHLOE Lena Crossbody Bag,,,Bags,https://secure-i6.ztat.net//large/SE/35/1H/00/OJ/11/SE351H00O-J11@10.jpg,https://www.zalando.pl/see-by-chloe-lena-torba-na-ramie-se351h00o-j11.html,210,,
4010,,ALDO SANSALVO Bag,,,Bags,https://secure-i4.ztat.net//large/A0/15/1H/01/2Q/11/A0151H012-Q11@10.jpg,https://www.zalando.pl/aldo-sansalvo-torebka-a0151h012-q11.html,40,,
4011,,SEE BY CHLOE Kristen Clutch,,,Bags,https://secure-i6.ztat.net//large/SE/35/1H/00/QK/11/SE351H00Q-K11@9.2.jpg,https://www.zalando.pl/see-by-chloe-kristen-kopertowka-peeble-se351h00q-k11.html,200,,
4012,,THIERRY MUGLER Midnight Clutch,,,Bags,https://secure-i5.ztat.net//large/TM/55/1H/00/QO/11/TM551H00Q-O11@2.jpg,https://www.zalando.pl/thierry-mugler-midnight-kopertowka-tm551h00q-o11.html,120,,
4013,,JOST Cult J Men's Bag,,,Bags,https://secure-i6.ztat.net//large/JO/55/4A/00/V8/02/JO554A00V-802@1.jpg,https://www.zalando.pl/jost-cult-l-torby-na-ramie-czarny-jo554a00v-802.html,60,,
4014,,HERSCHEL Laptop Bag,,,Bags,https://secure-i1.ztat.net//large/H1/55/4H/00/IQ/11/H1554H00I-Q11@8.jpg,https://www.zalando.pl/herschel-clark-torba-na-laptopa-black-h1554h00i-q11.html,120,,
