id,name_pl,name_en,description_pl,description_en,category,img_url,product_url,price_eur
5001,1984,1984,,"Author: George Orwell. Winston Smith lives in a society where the government controls people's lives every second of the day. Alone in his small, one-room apartment, Winston dreams of a better life. Is freedom from this life of suffering possible? There must be something that the Party cannot control something like love, perhaps?",Books,http://ecx.images-amazon.com/images/I/61JQ0g9g2CL.jpg,http://www.amazon.com/1984-George-Orwell/dp/1405862416/ref=tmm_pap_swatch_0?_encoding=UTF8&sr=&qid=,9
5002,Alicja w Krainie Czarów,Alice's Adventures in Wonderland,,Author: Lewis Carroll,Books,http://blogs.slj.com/afuse8production/files/2012/05/AliceWonderland22.jpg,http://www.amazon.com/gp/product/0553213458/ref=amb_link_397448882_43,2
5003,Paragraf 22,Catch-22,,Author: Joseph Heller,Books,http://ecx.images-amazon.com/images/I/61k33tU1CaL.jpg,http://www.amazon.com/gp/product/1451626657/ref=amb_link_397448882_89,9
5004,Diuna,Dune,,"Author: Frank Herbert, Science Fiction",Books,http://ecx.images-amazon.com/images/I/412Z9FE2E6L.jpg,http://www.amazon.com/Dune-40th-Anniversary-Chronicles-Book/dp/0441013597/ref=tmm_pap_swatch_0?_encoding=UTF8&sr=1-1&qid=1435864884,10
5005,"Strzelby, zarazki, maszyny","Guns, Germs, and Steel",,Author: Jared Diamond,Books,http://ecx.images-amazon.com/images/I/516H1W1ASTL.jpg,http://www.amazon.com/gp/product/0393061310/ref=amb_link_397448882_159,9
5006,Harry Potter i Kamień Filozoficzny,Harry Potter and the Sorcerer's Stone,,Author: J.K. Rowling,Books,http://ecx.images-amazon.com/images/I/51MU5VilKpL.jpg,http://www.amazon.com/gp/product/059035342X/ref=amb_link_397448882_165,5
5007,Duma i uprzedzenie,Pride and Prejudice,,by Jane Austen,Books,http://ecx.images-amazon.com/images/I/71cVmpGr4-L.jpg,http://www.amazon.com/gp/product/0199535566/ref=amb_link_397448882_280,6
5008,Buszujący w zbożu,The Catcher in the Rye,,by J. D. Salinger,Books,http://ecx.images-amazon.com/images/I/511BDFArolL.jpg,http://www.amazon.com/gp/product/0316769177/ref=amb_link_397448882_332,7
5009,Wielki Gatsby,The Great Gatsby,,by F. Scott Fitzgerald,Books,http://ecx.images-amazon.com/images/I/81mEbZQOrXL.jpg,http://www.amazon.com/gp/product/0743273567/ref=amb_link_397448882_377,7
5010,Władca Pierścieni,The Lord of the Rings,,by J.R.R. Tolkien,Books,http://ecx.images-amazon.com/images/I/51ZR3aU8t4L.jpg,http://www.amazon.com/gp/product/0544003411/ref=amb_link_397448882_436,12
