id,name_pl,name_en,description_pl,description_en,category,img_url,product_url,price_eur
2001,ESPRIT Męska Koszula,ESPRIT Men's Long Sleeve Casual Shirt,Kolor: Czarny,Color: Black,Clothes,"http://ecx.images-amazon.com/images/I/41z1vBbM1yL._SL246_SX190_CR0,0,190,246_.jpg",http://www.amazon.co.uk/ESPRIT-Mens-Sleeve-Casual-Shirt/dp/B00SILCJCK/ref=sr_1_1?m=A3P5ROKL5A1OLE&s=clothing&ie=UTF8&qid=1433948170&sr=1-1,30
2002,ZARA Gumowana parka z kapturem,ZARA Hooded parka,,Color: Yellow,Clothes,http://www.zara.com/pl/en/sale/kids/girl/jackets/hooded-parka.-c634753p2442589.html,http://www.zara.com/pl/en/sale/kids/girl/jackets/hooded-parka.-c634753p2442589.html,25
2003,TRIBORD Czapka z daszkiem,TRIBORD Baseball cap,,Color: White,Clothes,http://www.decathlon.pl/media/833/8330313/zoom_64590dc088524ac391aaf9d46425c7c7.jpg,http://www.decathlon.pl/czapka-regatoa-biaa-id_8330313.html#,8.5
2004,TALLY WEIJL Luźna bluzka,TALLY WEIJL Green Boxy t-shirt,,Color: Green,Clothes,http://www.tally-weijl.com/images/img/pdp/lrg/STOPEMIKA-BLU169-00.jpg,http://www.tally-weijl.com/en/FR/tops---shirts-56053--1/green-boxy-t-shirt-with-bib-neckline,8
2005,NEW LOOK Spodnie w geometryczny wzór,NEW LOOK Blue Geo Print Joggers,,Color: Blue,Clothes,http://www.newlook.com/shop/womens/trousers/blue-geo-print-joggers-_335419249,http://images.newlook.com/is/image/newlook/womens/trousers/casual-trousers/blue-geo-print-joggers-/335419249?$zoomPopup$&hei=394&wid=979,10
2006,H&M Okulary słoneczne,H&M Sunglasses,,Color: Black,Clothes,"http://lp2.hm.com/hmprod?set=source[/model/2015/A00%200268305%20001%2060%202260.jpg],type[STILLLIFE_FRONT]&hmver=4&call=url[file:/product/main]",http://www2.hm.com/pl_pl/productpage.0268305001.html,6
2007,H&M Wzorzysty szalik,H&M Scarf,,Color: Blue,Clothes,"http://lp2.hm.com/hmprod?set=source[/model/2014/A00%200257771%20002%2097%201210.jpg],type[STILLLIFE_FRONT]&hmver=0&call=url[file:/product/main]",http://www2.hm.com/pl_pl/productpage.0257771002.html,10
2008,MANGO Kardigan Basic,MANGO Basic Cardigan,,Color: Beige,Clothes,http://st.mngbcn.com/rcs/pics/static/T3/fotos/S6/33013509_63_B.jpg,http://shop.mango.com/PL/p0/kobieta/odziez/kardigany-i-swetry/kardigany/kardigan-wypuk%C5%82e-groszki/?id=33013509_63&n=1&s=prendas.cardigans&ident=0__0_1417628165798&ts=1417628165798,30
2009,,MASCARA Ball Gown,,Color: Emerald,Clothes,https://secure-i6.ztat.net//large/M0/92/1C/01/5M/11/M0921C015-M11@12.jpg,https://www.zalando.pl/mascara-suknia-balowa-forest-m0921c015-m11.html,230
2010,MANGO Damska koszula biała,MANGO Ladies white shirt,,Color: White,Clothes,http://st.mngbcn.com/rcs/pics/static/T3/fotos/S6/33060148_OW_B.jpg,"http://shop.mango.com/PL/p0/kobieta/odziez/bluzki-i-koszule/koszula-z-lejacej-tkaniny/?id=33060148_OW&n=1&s=prendas.vestidosprendas&ident=0_talla19M,34M,19S,34S.color10_0_1408344098459&ts=1408344098459",20
2011,,CLOSET Coctail Dress,,,Clothes,https://secure-i3.ztat.net//large/CL/92/1C/01/OQ/00/CL921C01O-Q00@8.2.jpg,https://www.zalando.pl/closet-sukienka-letnia-niebieski-cl921c01o-q00.html,60
2012,,TOMMY HILFIGER Sports Dress,,,Clothes,https://secure-i6.ztat.net//large/TO/14/1L/00/1G/11/TO141L001-G11@10.jpg,https://www.zalando.pl/tommy-hilfiger-hilfiger-tape-sukienka-z-dzerseju-czerwony-to141l001-g11.html,65
2013,,BENETTON Jersey Dress,,,Clothes,https://secure-i4.ztat.net//large/4B/E2/1C/05/FM/11/4BE21C05F-M11@14.jpg,https://www.zalando.pl/benetton-sukienka-letnia-vert-clair-4be21c05f-m11.html,15
2014,,ESPRIT Slim Fit Woman's Jeans,,,Clothes,https://secure-i4.ztat.net//large/ES/12/1N/01/DK/11/ES121N01D-K11@14.jpg,https://www.zalando.pl/esprit-jeansy-slim-fit-medium-blue-es121n01d-k11.html,40
2015,,LEVI'S 710 Superskinny Jeans,,,Clothes,https://secure-i3.ztat.net//large/LE/22/1N/01/1K/12/LE221N011-K12@13.jpg,https://www.zalando.pl/levi-s-super-skinny-jeansy-slim-fit-le221n011-k12.html,65
2016,,GAP Honey Boyfriend Jeans,,,Clothes,https://secure-i4.ztat.net//large/GP/02/1N/00/4K/11/GP021N004-K11@16.jpg,https://www.zalando.pl/gap-jeansy-slim-fit-indigo-gp021n004-k11.html,70
2017,,MINT&BERRY Printed Jeans,,,Clothes,https://secure-i6.ztat.net//large/M3/22/1N/00/6K/11/M3221N006-K11@14.jpg,https://www.zalando.pl/mint-berry-jeansy-slim-fit-light-blue-m3221n006-k11.html,20
2018,,TWINTIP Black Bikini,,,Clothes,https://secure-i5.ztat.net//large/TW/44/1H/01/FQ/11/TW441H01F-Q11@4.jpg,https://www.zalando.pl/twintip-bikini-black-tw441h01f-q11.html,25
2019,,ADIDAS Performance Swimsuit,,,Clothes,https://secure-i6.ztat.net//large/AD/54/1H/00/FQ/11/AD541H00F-Q11@1.2.jpg,https://www.zalando.pl/adidas-performance-kostium-kapielowy-czarny-ad541h00f-q11.html,40
2020,,SEAFOLLY Bikini Top,,,Clothes,https://secure-i4.ztat.net//large/S1/94/1H/02/6T/11/S1941H026-T11@7.jpg,https://www.zalando.pl/seafolly-gora-od-bikini-tangelo-s1941h026-t11.html,70
2021,,BEACHLIFE Bikini Top,,,Clothes,https://secure-i3.ztat.net//large/BJ/64/1H/00/2G/12/BJ641H002-G12@2.jpg,https://www.zalando.pl/beachlife-ivy-gora-od-bikini-bj641h002-g12.html,15
2022,,S.OLIVER Bikini,,,Clothes,https://secure-i6.ztat.net//large/SO/24/1H/00/6T/11/SO241H006-T11@7.jpg,https://www.zalando.pl/s-oliver-bikini-cream-lobste-so241h006-t11.html,45
2023,,ONLY Spring Jacket,,,Clothes,https://secure-i6.ztat.net//large/ON/32/1G/09/FB/11/ON321G09F-B11@14.jpg,https://www.zalando.pl/only-onlstar-parka-on321g09f-b11.html,40
