id,name_pl,name_en,description_pl,description_en,category,img_url,product_url,price_eur
15001,,Sun Protection Lotion,,,Cosmetics,http://www.sephora.pl/media/catalog_ProductCatalog/m4050493_P1037011_princ_hero.jpg,http://www.sephora.pl/Mezczyzna/Pielegnacja-sloneczna/Ochrona-Przeciwsloneczna/Sun-Protection-Lotion-Odzywcza-emulsja-z-filtrem-UV-SPF15/P1037011,35
15002,,Daily Moisturizing Creme,,,Cosmetics,http://www.sephora.pl/media/catalog_ProductCatalog/m5730461_P1293011_princ_hero.jpg,http://www.sephora.pl/Pielegnacja-Twarzy/Nawilzanie-i-odzywianie/Pielegnacja-na-dzien/HydraQuench-Intensywnie-nawilzajacy-krem-SPF-15/P1293011,45
15003,,Micellar Make up remover,,,Cosmetics,http://www.sephora.pl/media/catalog_ProductCatalog/m15628_P112302_princ_hero.jpg,http://www.sephora.pl/Makijaz/Demakijaz/Twarz/Plyn-micelarny-do-demakijazu/P112302,10
15004,,Face Mask,,,Cosmetics,http://www.sephora.pl/media/catalog_ProductCatalog/m10550555_P2132011_princ_hero.jpg,http://www.sephora.pl/Pielegnacja-Twarzy/Maseczki-i-Peeling/Maseczki/Algorithm-Maska-pielegnacyjna/P2132011,20
15005,,Shaving Foam,,,Cosmetics,http://www.sephora.pl/media/catalog_ProductCatalog/m28130_P15909_princ_hero.jpg,http://www.sephora.pl/Mezczyzna/Golenie/Golenie-i-Przed-Goleniem/ClarinsMen-Zel-pianka-do-Golenia/P15909,20
15006,,Shower Gel,,,Cosmetics,http://www.sephora.pl/media/catalog_ProductCatalog/m8971806_P1887013_princ_hero.jpg,http://www.sephora.pl/Mezczyzna/Cialo/Zele-pod-prysznic-i-Mydla/Zel-pod-prysznic-o-zapachu-cytrusow/P1887013,12
15007,,Shampoo,,,Cosmetics,http://www.sephora.pl/media/catalog_ProductCatalog/m30202_P1450_princ_hero.jpg,http://www.sephora.pl/Wlosy/Szampony/Wlosy-normalne/Brillante-Brunette-Odzywczy-szampon-dla-brunetek-i-szatynek/P1450,8
15008,,Hairspray,,,Cosmetics,http://www.sephora.pl/media/catalog_ProductCatalog/m5170617_P1191001_princ_hero.jpg,http://www.sephora.pl/Wlosy/Stylizacja-Wlosow/Spraye/Spray-de-Mode-Lakier/P1191001,30
15009,,Eyeshadow Palette,,,Cosmetics,http://www.sephora.pl/media/catalog_ProductCatalog/m17518_P116006_princ_hero.jpg,http://www.sephora.pl/Makijaz/Palety-i-Zestawy/Oczy/5-Couleurs-Designer-Paleta-5-cieni-do-powiek/P116006,65
15010,,Mascara,,,Cosmetics,http://www.sephora.pl/media/catalog_ProductCatalog/m11110500_P2201005_princ_hero.jpg,http://www.sephora.pl/Makijaz/Oczy/Mascary/Hypnose-Volume-a-porter/P2201005,40
15011,,Eye Liner,,,Cosmetics,http://www.sephora.pl/media/catalog_ProductCatalog/m2000452_P600015_princ_hero.jpg,http://www.sephora.pl/Makijaz/Oczy/Eyelinery/Precyzyjny-eyeliner/P600015,10
15012,,Mineral Foundation,,,Cosmetics,http://www.sephora.pl/media/catalog_ProductCatalog/m1350531_197079_hero.jpg,http://www.sephora.pl/Makijaz/Cera/Podklady/Podklad-Original-SPF-15/P104901,30
