id,name_pl,name_en,description_pl,description_en,category,img_url,product_url,price_eur
1001,Aparat cyfrowy Canon SX60 HS PowerShot,Canon SX60 HS PowerShot Digital Camera,,"Zoom into the exquisite detail of distant wildlife. Capture stunning ultra-wide landscapes with this hugely versatile and gifted 65x Wi-Fi bridge camera, which combines fun with expert control.",Electronics,http://ecx.images-amazon.com/images/I/81tBN8%2Bl8HL._SL1500_.jpg,http://www.amazon.co.uk/Canon-SX60-PowerShot-Digital-Camera/dp/B00NLHEQGS/ref=sr_1_4?s=electronics&ie=UTF8&qid=1433495128&sr=1-4,460
1002,Aparat cyfrowy lustrzanka Nikon D5300 Digital,Nikon D5300 Digital SLR,,SLR with 18-55mm VR II Compact Lens Kit - Black (24.2 MP) 3.2 inch LCD,Electronics,http://ecx.images-amazon.com/images/I/91uujVjqB%2BL._SL1500_.jpg,http://www.amazon.co.uk/Nikon-D5300-Digital-18-55mm-Compact/dp/B00I3M6BVY/ref=sr_1_2?s=electronics&ie=UTF8&qid=1433495134&sr=1-2,695
1003,Kamera GoPro HERO,GoPro HERO,,"HERO makes it easy to capture and share your world. Featuring high-quality 1080p30and 720p60 video, and 5MP photos up to 5 fps, HERO captures the same immersive footage that’s made GoPro one of the best-selling cameras in the world. Wearable, gear-mountable and integrated into a rugged, waterproof housing. HERO helps you capture photos and videos that make you look just like that: a hero.",Electronics,http://ecx.images-amazon.com/images/I/61bKNLTpiAL._SL1500_.jpg,http://www.amazon.co.uk/GoPro-CHDHA-301-EU-HERO/dp/B00O468GKM/ref=sr_1_1?s=electronics&ie=UTF8&qid=1433495730&sr=1-1&keywords=gopro,122
1004,Kindle Paperwhite,Kindle Paperwhite,"Czytnik e-book, wyświetlacz 6 cali, gęstość pikseli 212 ppi, wbudowane podświetlenie, WiFi","e-book reader, 6 inch High-Resolution Display (212 ppi) with Built-in Light, Wi-Fi",Electronics,http://ecx.images-amazon.com/images/I/61LDoOKyGYL._SL1000_.jpg,http://www.amazon.com/gp/product/B00JG8GOWU/ref=s9_simh_gw_p349_d10_i1?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=desktop-1&pf_rd_r=085798F9CWRWTPT3Z4KR&pf_rd_t=36701&pf_rd_p=2079475242&pf_rd_i=desktop,108
1005,Lenovo G50,Lenovo G50,"Laptop 15.6-cali (Core i3, 6 GB, 500 GB)","15.6-Inch Laptop (Core i3, 6 GB, 500 GB)",Electronics,http://ecx.images-amazon.com/images/I/A1TKUNkOEqL._SL1500_.jpg,http://www.amazon.com/dp/B00K6ZIFAQ/ref=ms_sbrspot_0?_encoding=UTF8&ie=UTF8&m=ATVPDKIKX0DER&qid=1431361446&s=pc&sr=1-3&pf_rd_p=2090566562&pf_rd_s=merchandised-search-top-4&pf_rd_t=101&pf_rd_i=11392907011&pf_rd_m=ATVPDKIKX0DER&pf_rd_r=0T14GXWS68A094MMZCAS,315
1006,Toshiba CB35-B3340,Toshiba CB35-B3340,"Chromebook 2, 13.3 cali (ekran Full-HD)",13.3-Inch Chromebook 2 (Full-HD Screen),Electronics,http://ecx.images-amazon.com/images/I/81iWrNn0nmL._SL1500_.jpg,http://www.amazon.com/Toshiba-CB35-B3340-13-3-Inch-Chromebook-Full-HD/dp/B00N99FXIS/ref=sr_1_6?s=pc&ie=UTF8&qid=1433576525&sr=1-6&keywords=chromebooks,278
1007,Apple MacBook Air,Apple MacBook Air,"Laptop 13.3 cali (dysk SSD 128 GB, 4 GB RAM)","13.3-Inch Laptop (128 GB SSD, 4 GB RAM) ",Electronics,http://ecx.images-amazon.com/images/I/91rrlAEJybL._SL1500_.jpg,http://www.amazon.com/Apple-MacBook-MJVE2LL-13-3-Inch-VERSION/dp/B00UGEBB94/ref=sr_1_2?s=electronics&ie=UTF8&qid=1433576687&sr=1-2&keywords=macbook,985
1008,Samsung Galaxy Tab 4,Samsung Galaxy Tab 4,"10.1 cali, 16GB, biały","10.1-Inch 16GB, White",Electronics,http://ecx.images-amazon.com/images/I/71vUS1NEzNL._SL1500_.jpg,http://www.amazon.com/Samsung-Galaxy-10-1-Inch-16GB-White/dp/B00JKCH552/ref=zg_bs_3063224011_6,252
1009,Apple iPad Air 2,Apple iPad Air 2,16GB Wifi,16GB Wifi,Electronics,http://ecx.images-amazon.com/images/I/615szQIw1gL._SL1024_.jpg,http://www.amazon.co.uk/Apple-iPad-Air-16GB-Space/dp/B00OTHE26S/ref=pd_cp_147_1,460
1010,JBL Synchros E50BT,JBL Synchros E50BT,,"Bluetooth, Over Ear Headphone - Blue",Electronics,http://ecx.images-amazon.com/images/I/61M4FJqUf5L._SL1000_.jpg,http://www.amazon.co.uk/JBL-Synchros-E50BT-Over-Headphone/dp/B00JQ757Q0/ref=sr_1_24?s=electronics&ie=UTF8&qid=1436452391&sr=1-24,130
1011,Apple Earphone,Apple Earphone,,with Microphone and Remote for iPhone,Electronics,http://ecx.images-amazon.com/images/I/41XZe8g4hJL._SL1024_.jpg,http://www.amazon.co.uk/gp/product/B00K7EQXIW/ref=s9_hps_bw_g23_i1?pf_rd_m=A3P5ROKL5A1OLE&pf_rd_s=merchandised-search-7&pf_rd_r=084FF2YT4VY70JPX065A&pf_rd_t=101&pf_rd_p=484031287&pf_rd_i=4085731,13
1012,Plantronics Audio 478 PC,Plantronics Audio 478 PC,,Folding USB Stereo Headset,Electronics,http://ecx.images-amazon.com/images/I/414zgCqIh1L.jpg,http://www.amazon.co.uk/Plantronics-Audio-Folding-Stereo-Headset/dp/B005VCPB3S/ref=sr_1_25?s=electronics-accessories&ie=UTF8&qid=1436453584&sr=1-25,35
1013,Samsung 60H6200,Samsung 60H6200,,60-inch Widescreen Full HD 1080p 3D Smart LED TV with Freeview HD [Energy Class A+],Electronics,http://ecx.images-amazon.com/images/I/715g3gt0zgL._SL1500_.jpg,http://www.amazon.co.uk/Samsung-60H6200-60-inch-Widescreen-Freeview/dp/B00ITHZTD4/ref=sr_1_1?s=electronics&ie=UTF8&qid=1436453528&sr=1-1,1500
1014,Samsung UE65JU7500,Samsung UE65JU7500,,"65"" LED 4K UltraHD Curve",Electronics,http://ecx.images-amazon.com/images/I/51jH7PJXxzL.jpg,http://www.amazon.co.uk/Samsung-UE65JU7500-LED-UltraHD-Curve/dp/B00US028LG/ref=sr_1_5?s=electronics&ie=UTF8&qid=1436453528&sr=1-5,3420
