id,name_pl,name_en,description_pl,description_en,category,img_url,product_url,price_eur
11001,,Gold Earrings with zirconia,,,Jewellery,http://cdn.yes.pl/media/catalog/product/cache/2/image/640x/9df78eab33525d08d6e5fb8d27136e95/t/a/tag-me-srebrne-kolczyki-ab-s-000-zlo-akcl520.jpg,http://www.yes.pl/tag-me-srebrne-kolczyki,30
11002,,Long Golden Earrings,,,Jewellery,http://cdn.yes.pl/media/catalog/product/cache/2/image/640x/9df78eab33525d08d6e5fb8d27136e95/l/a/la-prima-zlote-kolczyki-zw-z-z12-n00-ga11370_1.jpg,http://www.yes.pl/la-prima-zlote-kolczyki-24492,160
11003,,Pearl Bracelet,,,Jewellery,http://www.yes.pl/55909-namiko-bransoletka-z-perel-kr-c-000-per-ybxi258,http://www.yes.pl/55909-namiko-bransoletka-z-perel-kr-c-000-per-ybxi258,35
11004,,Beaded Necklace,,,Jewellery,http://images.newlook.com/is/image/newlook/womens/jewellery-and-hair-accessories/necklaces/coral-twisted-beaded-necklace-/340498883?$zoomPopup$&hei=394&wid=979,http://www.newlook.com/shop/womens/jewellery-and-hair-accessories/coral-twisted-beaded-necklace-_340498883,8
11005,,Short Necklace,,,Jewellery,"http://lp2.hm.com/hmprod?set=source[/model/2015/B00%200326680%20001%2006%202067.jpg],type[STILLLIFE_FRONT]&hmver=2&call=url[file:/product/main]",http://www2.hm.com/pl_pl/productpage.0326680001.html,10
11006,,Victorian Style Earstuds,,,Jewellery,http://cdn.yes.pl/media/catalog/product/cache/2/image/640x/9df78eab33525d08d6e5fb8d27136e95/k/o/kolekcja-wiktorianska-kolczyki-z-brylantami-i-szafirami-bb-z-000-y02-2780s.jpg,http://www.yes.pl/50317-kolekcja-wiktorianska-kolczyki-z-brylantami-i-szafirami-bb-z-000-y02-2780s,1900
11007,,Modern Earstuds,,,Jewellery,http://cdn.yes.pl/media/catalog/product/cache/2/image/1000x/9df78eab33525d08d6e5fb8d27136e95/l/a/la-prima-zlote-kolczyki-zw-z-000-n00-fa11452.jpg,http://www.yes.pl/56452-la-prima-zlote-kolczyki-zw-z-000-n00-fa11452,50
11008,,String bracelet,,,Jewellery,http://mokobelle.pl/shop/media/catalog/product/cache/1/thumbnail/650x/9df78eab33525d08d6e5fb8d27136e95/s/z/szafirowa-bransoleta-na-zacisk.jpg,http://mokobelle.pl/shop/bizuteria/bransoletki-z-nitek/niebieska-bransoletka-warkoczyk,25
11009,,Delicate Necklace,,,Jewellery,"http://lp2.hm.com/hmprod?set=source[/model/2015/B00%200309733%20002%2067%200486.jpg],type[STILLLIFE_FRONT]&hmver=2&call=url[file:/product/main]",http://www2.hm.com/pl_pl/productpage.0309733002.html,6
11010,,Feather Earrings,,,Jewellery,"http://lp2.hm.com/hmprod?set=source[/model/2015/B00%200301035%20001%2070%202163.jpg],type[STILLLIFE_FRONT]&hmver=3&call=url[file:/product/main]",http://www2.hm.com/pl_pl/productpage.0301035001.html,15
11011,,Wedding rings,,,Jewellery,http://cdn.yes.pl/media/catalog/product/cache/2/image/640x/9df78eab33525d08d6e5fb8d27136e95/z/l/zlote-obraczki-klasyczne-satynowane-szerokosc-3-mm-zs-z-3sz-702_5.jpg,http://www.yes.pl/43869-zlote-obraczki-klasyczne-satynowane-szerokosc-3-mm-zs-z-3sz-702,450
11012,,Engagement ring,,,Jewellery,http://cdn.yes.pl/media/catalog/product/cache/2/image/1000x/9df78eab33525d08d6e5fb8d27136e95/e/t/eternel-pierscionek-z-diamentem-bb-z-000-015-3595my.jpg,http://www.yes.pl/48374-eternel-pierscionek-z-diamentem-bb-z-000-005-3595mykonf,300
11013,,Ring,,,Jewellery,http://images.newlook.com/is/image/newlook/womens/jewellery-and-hair-accessories/rings/navy-gem-stone-ring-/348208241?$zoomPopup$&hei=394&wid=979,http://www.newlook.com/shop/womens/jewellery-and-hair-accessories/navy-gem-stone-ring-_348208241,4
11014,,Silver Ankle Bracelet,,,Jewellery,http://www.susansilverdesigner.com/FB082-ankle-bracelet.jpg,,5
11015,,Silver Cufflinks,,,Jewellery,http://cdn.yes.pl/media/catalog/product/cache/2/image/640x/9df78eab33525d08d6e5fb8d27136e95/s/p/spinki-do-mankietow-ab-s-000-man-amha002.jpg,http://www.yes.pl/35631-spinki-do-mankietow-ab-s-000-man-amha002,45
11016,,Handmade Felt Bracelet,,,Jewellery,http://ev.blox.pl/resource/filcowa_szarozolta.jpg,"http://ev.blox.pl/html/1310721,262146,21.html?382818",10
11017,,Wide Bracelet,,,Jewellery,"http://lp2.hm.com/hmprod?set=source[/model/2015/B00%200309478%20001%2010%202229.jpg],type[STILLLIFE_FRONT]&hmver=4&call=url[file:/product/main]",http://www2.hm.com/pl_pl/productpage.0309478001.html,8
11018,,Modern Necklace,,,Jewellery,"http://lp2.hm.com/hmprod?set=source[/model/2015/B00%200301034%20001%2067%200492.jpg],type[STILLLIFE_FRONT]&hmver=2&call=url[file:/product/main]",http://www2.hm.com/pl_pl/productpage.0301034001.html,17
11019,,Agath Bracelet,,,Jewellery,http://mokobelle.pl/shop/media/catalog/product/cache/1/thumbnail/650x/9df78eab33525d08d6e5fb8d27136e95/b/r/bransoletka-z-szarych-agat_w-rozeta-julia.jpg,http://mokobelle.pl/shop/bizuteria/bransoletki-z-kamieni/bransoletka-z-szarych-agatow-z-rozeta-julia,35
11020,,Kids Golden Earstuds,,,Jewellery,http://s1.apart.pl/files/cbiz_img/img_prod9221_0_o.jpg,"http://www.apart.pl/pl/diamenty,c,kolekcje,kids_diamenty,9221",80
