id,name_pl,name_en,description_pl,description_en,category,img_url,product_url,price_eur
13001,,Shakira - Shakira,,,Music,http://ecx.images-amazon.com/images/I/714lAYRXGTL._SL1500_.jpg,http://www.amazon.co.uk/Shakira-Shakira/dp/B00I2V6JKE/ref=sr_1_1?ie=UTF8&qid=1436908129&sr=8-1&keywords=shakira,6
13002,,Louis - The Best Of Louis Armstrong,,,Music,http://ecx.images-amazon.com/images/I/81eqYeHMvJL._SL1423_.jpg,http://www.amazon.co.uk/Louis-Best-Armstrong/dp/B006IOOXPA/ref=sr_1_3?s=music&ie=UTF8&qid=1436908274&sr=1-3&keywords=louis+armstrong,15
13003,,2Pac - Greatest Hits,,,Music,http://ecx.images-amazon.com/images/I/51iQ7z1W0jL.jpg,http://www.amazon.co.uk/Greatest-Hits-2pac/dp/B00000FCBH/ref=sr_1_7?s=music&ie=UTF8&qid=1436908325&sr=1-7&keywords=tupac,12
13004,,The Best of Beethoven,,,Music,http://ecx.images-amazon.com/images/I/61kneYOcFRL.jpg,http://www.amazon.co.uk/Best-Beethoven-Various-Artists/dp/B0000014H2/ref=sr_1_2?s=music&ie=UTF8&qid=1436908386&sr=1-2&keywords=beethoven,8
13005,,The Beatles - Abbey Road,,,Music,http://ecx.images-amazon.com/images/I/919WO8q-nnL._SL1500_.jpg,http://www.amazon.co.uk/Abbey-Road-Beatles/dp/B0025KVLUQ/ref=sr_1_8?s=music&ie=UTF8&qid=1436908445&sr=1-8&keywords=beatles,14
13006,,Justin Bieber - Believe,,,Music,http://ecx.images-amazon.com/images/I/71E5qwT5KWL._SL1050_.jpg,http://www.amazon.co.uk/Believe-Justin-Bieber/dp/B0082ODN1O/ref=sr_1_1?s=music&ie=UTF8&qid=1436908547&sr=1-1&keywords=justin+bieber,6
13007,,Jacek Kaczmarski - Zlota Kolekcja,,,Music,http://ecx.images-amazon.com/images/I/61zbHUj1bML._SL1064_.jpg,http://www.amazon.co.uk/music/dp/B007QHKI16/ref=sr_1_3?s=music&ie=UTF8&qid=1436908679&sr=1-3&keywords=jacek+kaczmarski,24
13008,,Gershwin - Rhapsody in Blue,,,Music,http://ecx.images-amazon.com/images/I/511h29%2BjjIL.jpg,http://www.amazon.co.uk/Gershwin-Greatest-Classical-Hits-Rhapsody/dp/B000S08YIC/ref=sr_1_4?s=music&ie=UTF8&qid=1436908754&sr=1-4&keywords=gershwin,7
13009,,Metallica - Master of Puppets,,,Music,http://ecx.images-amazon.com/images/I/71Mr-XtI4nL._SL1125_.jpg,http://www.amazon.co.uk/Master-Puppets-Metallica/dp/B000025ZVE/ref=sr_1_3?s=music&ie=UTF8&qid=1436908899&sr=1-3&keywords=metallica,9
13010,,Nirvana - Nirvana,,,Music,http://ecx.images-amazon.com/images/I/71lpsPTc2IL._SL1099_.jpg,http://www.amazon.co.uk/Nirvana/dp/B000091A5V/ref=sr_1_1?s=music&ie=UTF8&qid=1436909221&sr=1-1&keywords=nirvana,4
13011,,Lady Gaga - The Fame,,,Music,http://ecx.images-amazon.com/images/I/71w5Vqk383L._SL1500_.jpg,http://www.amazon.co.uk/Fame-Lady-Gaga/dp/B001JSTKNA/ref=sr_1_6?s=music&ie=UTF8&qid=1436909392&sr=1-6&keywords=lady+gaga,6
13012,,Queen - Greatest Hits,,,Music,http://ecx.images-amazon.com/images/I/51kTOGIw6TL.jpg,http://www.amazon.co.uk/69/dp/B004FE2N48/ref=sr_1_3?s=music&ie=UTF8&qid=1436909455&sr=1-3&keywords=queen,7
13013,,Very Best Of The Rolling Stones 1964-1971,,,Music,http://ecx.images-amazon.com/images/I/5142WnPtY3L.jpg,http://www.amazon.co.uk/Very-Best-Rolling-Stones-1964-1971/dp/B005MQNDVK/ref=sr_1_10?s=music&ie=UTF8&qid=1436909538&sr=1-10&keywords=rolling+stones,14
13014,,Madonna - Madonna,,,Music,http://ecx.images-amazon.com/images/I/81hXRTWVaWL._SL1447_.jpg,http://www.amazon.co.uk/Madonna/dp/B00005J6T1/ref=sr_1_8?s=music&ie=UTF8&qid=1436909661&sr=1-8&keywords=madonna,7
13015,,The Best Of Bob Marley,,,Music,http://ecx.images-amazon.com/images/I/71HxtstYhKL._SL1178_.jpg,http://www.amazon.co.uk/Best-Bob-Marley/dp/B00BFBWXBM/ref=sr_1_3?s=music&ie=UTF8&qid=1436909820&sr=1-3&keywords=bob+marley,8
13016,,Elv1s: 30 #1 Hits,,,Music,http://ecx.images-amazon.com/images/I/61%2BhsjA27sL._SL1500_.jpg,http://www.amazon.co.uk/Elv1s-30-Hits-Elvis-Presley/dp/B00006AG5N/ref=sr_1_1?s=music&ie=UTF8&qid=1436909866&sr=1-1&keywords=elvis+presley,7
13017,,Michael Jackson - Thriller,,,Music,http://ecx.images-amazon.com/images/I/71w9B42ZX0L._SL1390_.jpg,http://www.amazon.co.uk/Thriller-Michael-Jackson/dp/B00005NUZN/ref=sr_1_5?s=music&ie=UTF8&qid=1436909922&sr=1-5&keywords=michael+jackson,7
