id,name_pl,name_en,description_pl,description_en,category,img_url,product_url,price_eur,co chcemy
3001,GINO ROSSI Lakierowane czółenka,GINO ROSSI Patent Pump,,,Shoes,http://www.gino-rossi.com/media/catalog/product/all/DCF430-768-0600-5700-0a.jpg,http://www.gino-rossi.com/outlet/ona/obuwie/czolenka/dcf430-768-0600-5700-0,55,
3002,,CONVESE Men's trainers,,,Shoes,https://secure-i4.ztat.net//large/CO/4F/ZA/02/27/02/CO4-fza-0227-02@1.2.jpg,https://www.zalando.pl/converse-tenisowki-niskie-bialy-co4-fza-0227-02.html,60,
3003,,PUMA Retro Jogger trainers,,,Shoes,https://secure-i2.ztat.net//large/PU/11/1S/02/AA/11/PU111S02A-A11@12.jpg,https://www.zalando.pl/puma-retro-jogger-tenisowki-i-trampki-pu111s02a-a11.html,35,
3004,,VANS Classic white,,,Shoes,https://secure-i2.ztat.net//large/VA/21/1E/00/0Q/11/VA211E000-Q11@12.jpg,https://www.zalando.pl/vans-polbuty-wsuwane-true-white-va211e000-q11.html,60,
3005,,HILFIGHER DENIM Beige trainers,,,Shoes,https://secure-i4.ztat.net//large/HI/11/1S/00/0B/11/HI111S000-B11@12.jpg,https://www.zalando.pl/hilfiger-denim-hilton-tenisowki-i-trampki-bezowy-hi111s000-b11.html,65,
3006,,MINT & BERRY Blue Suede Sandals,,,Shoes,https://secure-i4.ztat.net//large/M3/21/1B/00/0K/11/M3211B000-K11@12.jpg,https://www.zalando.pl/mint-berry-czolenka-campanula-m3211b000-k11.html,70,
3007,,TOMMY HILFIGHER Emery Sandals,,,Shoes,https://secure-i2.ztat.net//large/TO/11/1L/00/1G/11/TO111L001-G11@12.jpg,https://www.zalando.pl/tommy-hilfiger-emery-sandaly-na-koturnie-pomaranczowy-to111l001-g11.html,80,
3008,,UNISA Maite Black Boots,,,Shoes,https://secure-i2.ztat.net//large/UN/11/1N/01/9C/11/UN111N019-C11@12.jpg,https://www.zalando.pl/unisa-maite-botki-na-obcasie-ferro-un111n019-c11.html,140,
3009,,PRETTY BALLERINAS Keros Ballerinas,,,Shoes,https://secure-i2.ztat.net//large/PR/11/1A/09/QK/11/PR111A09Q-K11@12.jpg,https://www.zalando.pl/pretty-ballerinas-baleriny-keros-pr111a09q-k11.html,160,
3010,,KARTELL Bow Wow Rubber Ballerinas,,,Shoes,https://secure-i1.ztat.net//large/KR/21/1A/00/19/15/KR211A001-915@1.1.jpg,https://www.zalando.pl/kartell-bow-wow-baleriny-rozowy-kr211a001-915.html,80,
