id,name_pl,name_en,description_pl,description_en,category,img_url,product_url,price_eur
10001,Ultrasport F-Bike,Ultrasport F-Bike,,Ultrasport F-Bike Home Trainer with Hand Pulse Sensor,Sports,http://ecx.images-amazon.com/images/I/81tj6l8sbeL._SL1500_.jpg,http://www.amazon.co.uk/Ultrasport-331100000022-F-Bike-Exercise-Bike/dp/B003FSTA0U/ref=lp_319549011_1_1?s=fitness&ie=UTF8&qid=1436820329&sr=1-1,113
10002,Fitbit Charge,Fitbit Charge,,Fitbit Charge HR Heart Rate and Activity Wristband,Sports,http://ecx.images-amazon.com/images/I/61sPyY8WeZL._SL1500_.jpg,http://www.amazon.co.uk/Fitbit-Charge-Heart-Activity-Wristband/dp/B00P9P6DA2/ref=lp_4294916031_1_4?s=sports&ie=UTF8&qid=1436820413&sr=1-4,144
10003,Everlast 50kg Weight Set,Everlast 50kg Weight Set,,Everlast 50kg Weight Set with Straight Barbell & Dumbells Vinyl Fortek Design,Sports,http://ecx.images-amazon.com/images/I/41sVl55W6FL.jpg,http://www.amazon.co.uk/Everlast-Weight-Straight-Barbell-Dumbells/dp/B006W9OOZ0/ref=sr_1_6?s=fitness&ie=UTF8&qid=1436820511&sr=1-6,120
10004,Fitness Ball,Fitness Ball,,"Fitness Ball, Blue, 30in/75cm Diameter, Includes 1 Ball +1 Pump + 1 Page Instruction Chart, No instructional DVD (Exercise Gym Swiss Stability Ball)",Sports,http://ecx.images-amazon.com/images/I/81GWDPwLG9L._SL1500_.jpg,http://www.amazon.co.uk/Diameter-Instruction-instructional-Exercise-Stability/dp/B00P62C78K/ref=sr_1_41?s=fitness&ie=UTF8&qid=1436820650&sr=1-41,11
10005,Muddyfox Anarchy400,Muddyfox Anarchy400,,Muddyfox Anarchy400 Mountain Bikes,Sports,http://ecx.images-amazon.com/images/I/51QEs8zGcnL.jpg,http://www.amazon.co.uk/Muddyfox-Anarchy400-Mountain-Bikes-Bicycle/dp/B00WIBMEUI/ref=sr_1_51?s=sports&ie=UTF8&qid=1436820798&sr=1-51,394
10006,Men's Urban Bike,Men's Urban Bike,,Activ Men's Commute City Urban Bike,Sports,http://ecx.images-amazon.com/images/I/81V5bITVj1L._SL1500_.jpg,http://www.amazon.co.uk/Activ-Mens-Commute-City-Urban/dp/B00HZJ2R6E/ref=sr_1_18?s=sports&ie=UTF8&qid=1436820801&sr=1-18,280
10007,Viking Prelude Ladies,Viking Prelude Ladies,,Viking Prelude Ladies Traditional 6 Speed Bike,Sports,http://ecx.images-amazon.com/images/I/61lK4a4r8lL._SL1219_.jpg,http://www.amazon.co.uk/sports/dp/B004SETTBA/ref=sr_1_28?s=sports&ie=UTF8&qid=1436821280&sr=1-28,310
10008,Official Adidas UEFA,Official Adidas UEFA,,"Official Adidas UEFA CHAMPIONS LEAGUE Football 2015 (Berlin White, 5)",Sports,http://ecx.images-amazon.com/images/I/81-GSfGNBqL._SL1500_.jpg,http://www.amazon.co.uk/Official-Adidas-CHAMPIONS-LEAGUE-Football/dp/B00T86VIBM/ref=sr_1_3?s=sports&ie=UTF8&qid=1436821462&sr=1-3,21
10009,FISCHER - Pack Skis,FISCHER - Pack Skis,,FISCHER - Pack Skis - RC4 WORLDCUP SL Jr + Z11,Sports,http://ecx.images-amazon.com/images/I/419TRseg5LL.jpg,http://www.amazon.co.uk/Fischer-FISCHER-Pack-WORLDCUP-tailles/dp/B00MP3MHIS/ref=sr_1_11?s=sports&ie=UTF8&qid=1436821604&sr=1-11,422
10010,Burton Snowboard,Burton Snowboard,,Snowboard,Sports,http://ecx.images-amazon.com/images/I/818oLEGb6mL._SL1500_.jpg,http://www.amazon.co.uk/Burton-10697101000-Genie-145cm/dp/B00KR6EZ9E/ref=sr_1_31?s=sports&ie=UTF8&qid=1436821587&sr=1-31,211
