id,name_pl,name_en,description_pl,description_en,category,img_url,product_url,price_eur
12001,,Barbie doll,,,Toys,http://ecsmedia.pl/c/barbie-lalka-baletnica-n-iext29341581.jpg,"http://www.smyk.com/barbie-lalka-baletnica,p1109982439,zabawki-gry-dla-dzieci-p",10
12002,,Playhouse,,,Toys,http://ecsmedia.pl/c/eichhorn-drewniany-domek-dla-lalek-n-iext29136573.jpg,"http://www.smyk.com/eichhorn-drewniany-domek-dla-lalek,p1109220047,zabawki-gry-dla-dzieci-p",100
12003,,Teddy Bear,,,Toys,http://ecsmedia.pl/c/smiki-maskotka-mis-n-iext25185754.jpg,"http://www.smyk.com/smiki-mis-pluszowy-bialy-maskotka,p1097141306,zabawki-gry-dla-dzieci-p",8
12004,,Piglet,,,Toys,http://ecsmedia.pl/c/disney-kubus-puchatek-i-przyjaciele-maskotka-prosiaczek-n-iext24809139.jpg,"http://www.smyk.com/disney-kubus-puchatek-i-przyjaciele-prosiaczek-maskotka-43-cm,p1093809873,zabawki-gry-dla-dzieci-p",15
12005,,Beach Ball,,,Toys,http://ecsmedia.pl/c/intex-pilka-plazowa-n-iext29175428.jpg,"http://www.smyk.com/intex-pilka-plazowa,p1109293159,zabawki-gry-dla-dzieci-p",5
12006,,Beach Tools,,,Toys,http://ecsmedia.pl/c/wader-spychacz-z-akcesoriami-do-piasku-n-iext28864738.jpg,"http://www.smyk.com/wader-spychacz-z-akcesoriami-do-piasku,p1108210539,zabawki-gry-dla-dzieci-p",7
12007,,Scooter,,,Toys,http://ecsmedia.pl/c/smoby-hulajnoga-twist-myszka-minnie-n-iext28413833.jpg,"http://www.smyk.com/smoby-hulajnoga-twist-myszka-minnie,p1106540463,zabawki-gry-dla-dzieci-p",40
12008,,Roller Skates,,,Toys,http://ecsmedia.pl/c/spokey-rolki-salmon-rozmiar-37-40-n-iext28400683.jpg,"http://www.smyk.com/spokey-lyzworolki-salmon-rozmiar-37-40,p1106456915,zabawki-gry-dla-dzieci-p",45
12009,,Mini Ferrari,,,Toys,http://ecsmedia.pl/c/silverlit-pojazd-zdalnie-sterowany-ferrari-458-italia-n-iext29072122.jpg,"http://www.smyk.com/silverlit-ferrari-458-italia,p1108719757,zabawki-gry-dla-dzieci-p",15
12010,,Bike,,,Toys,http://ecsmedia.pl/c/skilled-rowerek-off-road-12-n-iext21549932.jpg,"http://www.smyk.com/skilled-rowerek-off-road-12,p1068961889,zabawki-gry-dla-dzieci-p",120
12011,,Hulk Figure,,,Toys,http://ecsmedia.pl/c/marvel-avengers-tytan-figurka-hulk-n-iext28253153.jpg,"http://www.smyk.com/avengers-tytan-hulk-figurka,p1105829099,zabawki-gry-dla-dzieci-p",22
12012,,Car Model,,,Toys,http://ecsmedia.pl/c/revell-trabant-601-limousine-model-do-sklejania-n-iext6290300.jpg,"http://www.smyk.com/revell-trabant-601-limousine-model-do-sklejania,p1045907624,zabawki-gry-dla-dzieci-p",26
12013,,Tank,,,Toys,http://ecsmedia.pl/c/revell-leopard-2-a6a6m-model-do-sklejania-n-iext6290109.jpg,"http://www.smyk.com/revell-leopard-2-a6a6m-model-do-sklejania,p1045907299,zabawki-gry-dla-dzieci-p",12
12014,,Lego blocks,,,Toys,http://ecsmedia.pl/c/lego-city-klocki-mobilna-jednostka-policji-60044-n-iext24334953.jpg,"http://www.smyk.com/lego-city-mobilna-jednostka-policji-60044-klocki,p1087086718,zabawki-gry-dla-dzieci-p",45
12015,,Puzzles,,,Toys,http://ecsmedia.pl/c/puzzle-minionki-n-iext29359073.jpg,"http://www.smyk.com/puzzle-minionki,p1107921656,zabawki-gry-dla-dzieci-p",8
12016,,Crayons,,,Toys,http://ecsmedia.pl/c/crayola-kredki-swiecowe-mini-kids-8-szt-n-iext6113933.jpg,"http://www.smyk.com/crayola-mini-kids-kredki-swiecowe-8-szt,p1000618686,zabawki-gry-dla-dzieci-p",3
12017,,Plasticine,,,Toys,http://ecsmedia.pl/c/play-doh-stylowe-kucyki-masa-plastyczna-n-iext28269391.jpg,"http://www.smyk.com/play-doh-stylowe-kucyki-masa-plastyczna,p1105876121,zabawki-gry-dla-dzieci-p",17
12018,,Mosaic Beads,,,Toys,http://ecsmedia.pl/c/smily-play-mozaika-zestaw-kreatywny-300-elementow-n-iext25129210.jpg,"http://www.smyk.com/smily-play-mozaika-zestaw-kreatywny-300-elementow,p1096455503,zabawki-gry-dla-dzieci-p",7
