id,name_pl,name_en,description_pl,description_en,category,img_url,product_url,price_eur
8001,Pokémon Fire Red (GBA),Pokémon Fire Red (GBA),,,Video Games,http://ecx.images-amazon.com/images/I/61XjZ8DvaFL.jpg,http://www.amazon.co.uk/Nintendo-45496734930-Pok%C3%A9mon-Fire-Red/dp/B0006GBCZU/ref=sr_1_1?ie=UTF8&qid=1436519072&sr=8-1&keywords=pokemon+fire+red,25
8002,Fallout 4,Fallout 4,,,Video Games,http://ecx.images-amazon.com/images/I/81aF0VO09wL._SL1500_.jpg,http://www.amazon.co.uk/Bethesda-Fallout-4-PC/dp/B00KIMBVJE/ref=sr_1_1?ie=UTF8&qid=1436519184&sr=8-1&keywords=fallout+4,50
8003,FIFA 16,FIFA 16,,,Video Games,http://ecx.images-amazon.com/images/I/51nCdzNXjHL.jpg,http://www.amazon.co.uk/Electronic-Arts-FIFA-16-PS4/dp/B00KHJLGNY/ref=sr_1_2?ie=UTF8&qid=1436519248&sr=8-2&keywords=fifa+16,60
8004,GTA V,GTA V,,,Video Games,http://ecx.images-amazon.com/images/I/916T5H6sCtL._SL1500_.jpg,http://www.amazon.co.uk/Grand-Theft-Auto-V-PS4/dp/B00KL4AROO/ref=sr_1_1?ie=UTF8&qid=1436519308&sr=8-1&keywords=gta+v,57
8005,Rayman,Rayman,,,Video Games,http://ecx.images-amazon.com/images/I/51ah%2BeKF%2BhL.jpg,http://www.amazon.co.uk/UBI-Soft-Rayman-PS/dp/B00004TMHR/ref=sr_1_3?ie=UTF8&qid=1436519376&sr=8-3&keywords=rayman,8
8006,The Sims 4,The Sims 4,,,Video Games,http://ecx.images-amazon.com/images/I/91O8eWJQCML._SL1500_.jpg,http://www.amazon.co.uk/The-Sims-4-Standard-Edition/dp/B00KHJLXN2/ref=sr_1_1?ie=UTF8&qid=1436519451&sr=8-1&keywords=the+sims,45
8007,Colin McRae: Dirt 2,Colin McRae: Dirt 2,,,Video Games,http://ecx.images-amazon.com/images/I/51g2yCtzWtL.jpg,http://www.amazon.co.uk/Colin-McRae-Dirt-Xbox-360/dp/B002DUCNIM/ref=sr_1_1?ie=UTF8&qid=1436519552&sr=8-1&keywords=colin+mcrae,30
8008,Wolfenstein 3D (Xplosive Range),Wolfenstein 3D (Xplosive Range),,,Video Games,http://ecx.images-amazon.com/images/I/51g-4fPFroL.jpg,http://www.amazon.co.uk/Wolfenstein-3D-Xplosive-Range-Windows/dp/B00HTR2762/ref=sr_1_sc_3?ie=UTF8&qid=1436519593&sr=8-3-spell&keywords=wolfensteing+3d,2
8009,Mass Effect 3,Mass Effect 3,,,Video Games,http://ecx.images-amazon.com/images/I/51ni04jfjqL.jpg,http://www.amazon.co.uk/Mass-Effect-3-Xbox-360/dp/B004T8C3NG/ref=sr_1_1?ie=UTF8&qid=1436520242&sr=8-1&keywords=mass+effect+3,42
8010,Counter -Strike: Source,Counter -Strike: Source,,,Video Games,http://ecx.images-amazon.com/images/I/51-1ZsirWQL.jpg,http://www.amazon.co.uk/Counter--Strike-Source-PC-DVD/dp/B000B8XQHK/ref=sr_1_1?ie=UTF8&qid=1436520324&sr=8-1&keywords=counter+strike+global+offensive,4
8011,Super Mario Bros,Super Mario Bros,,,Video Games,http://vignette2.wikia.nocookie.net/mario/images/6/60/SMBBoxart.png/revision/latest?cb=20120609143443,,5
8012,The Legend of Zelda: A Link to the Past,The Legend of Zelda: A Link to the Past,,,Video Games,https://i1.ytimg.com/sh/FgpurRSQUI0/showposter.jpg?v=4ff1dcb2,,5
8013,Portal,Portal,,,Video Games,http://ecx.images-amazon.com/images/I/41nD9q3GnBL.jpg,http://www.amazon.co.uk/Electronic-Arts-Portal-PC-DVD/dp/B00169L9C2/ref=sr_1_2?s=videogames&ie=UTF8&qid=1436520978&sr=1-2&keywords=portal,20
8014,Half-Life 2,Half-Life 2,,,Video Games,http://ecx.images-amazon.com/images/I/51V8ZRK340L.jpg,http://www.amazon.co.uk/Sierra-UK-Half-Life-DVD-ROM/dp/B00009ATWC/ref=sr_1_2?s=videogames&ie=UTF8&qid=1436521237&sr=1-2&keywords=half+life+2,20
